n,q,orientation,seed,method,y0_source,value,objective_gap,maximum_violation,exitflag,iterations,seconds,at_pgm,at_global
6,3,QR,13,fmincon SQP,0.6,26.2632922144537,0.999999999999993,1.11022302462516e-16,1,4,0.0030902,1,0
6,3,QR,13,alternating LP,0.7,25.2632922144538,-3.5527136788005e-15,4.44089209850063e-16,1,2,0.0099206,0,1
6,3,QR,13,fmincon SQP,0.7,25.2632922144537,-7.105427357601e-15,4.44089209850063e-16,1,11,0.004252,0,1
6,3,QR,13,alternating LP,0.8,25.2632922144538,-3.5527136788005e-15,4.44089209850063e-16,1,2,0.0110615,0,1
6,3,QR,13,fmincon SQP,0.8,25.2632922144537,-7.105427357601e-15,4.44089209850063e-16,1,11,0.0047305,0,1
6,3,QR,13,alternating LP,0.9,25.2632922144538,-3.5527136788005e-15,4.44089209850063e-16,1,2,0.0099075,0,1
6,3,QR,13,fmincon SQP,0.9,25.2632922144537,-7.105427357601e-15,4.44089209850063e-16,1,11,0.0041007,0,1
6,3,QR,13,alternating LP,1,25.2632922144538,-3.5527136788005e-15,4.44089209850063e-16,1,1,0.0058136,0,1
6,3,QR,13,fmincon SQP,1,25.2632922144537,-7.105427357601e-15,2.77555756156289e-17,1,11,0.0038923,0,1
8,3,QR,14,alternating LP,0,-21.771949792923,1,1.66533453693773e-15,1,1,0.0047755,1,0
8,3,QR,14,fmincon SQP,0,-21.771949792923,1,8.88178419700125e-16,1,2,0.0021606,1,0
8,3,QR,14,alternating LP,0.1,-21.771949792923,1,1.66533453693773e-15,1,2,0.0096768,1,0
8,3,QR,14,fmincon SQP,0.1,-21.771949792923,1,8.88178419700125e-16,1,2,0.0021827,1,0
8,3,QR,14,alternating LP,0.2,-21.771949792923,1,1.66533453693773e-15,1,2,0.0089519,1,0
8,3,QR,14,fmincon SQP,0.2,-21.771949792923,1,1.77635683940025e-15,1,3,0.0024044,1,0
8,3,QR,14,alternating LP,0.3,-21.771949792923,1,1.66533453693773e-15,1,2,0.0099496,1,0
8,3,QR,14,fmincon SQP,0.3,-21.771949792923,1,1.77635683940025e-15,1,3,0.0025279,1,0
8,3,QR,14,alternating LP,0.4,-22.771949792923,0,8.88178419700125e-16,1,2,0.0093476,0,1
8,3,QR,14,fmincon SQP,0.4,-21.771949792923,1,4.44089209850063e-16,1,4,0.0027877,1,0
8,3,QR,14,alternating LP,0.5,-22.771949792923,0,8.88178419700125e-16,1,2,0.0084437,0,1
8,3,QR,14,fmincon SQP,0.5,-21.771949792923,1,8.88178419700125e-16,1,4,0.0026956,1,0
8,3,QR,14,alternating LP,0.6,-22.771949792923,0,8.88178419700125e-16,1,2,0.0089417,0,1
8,3,QR,14,fmincon SQP,0.6,-21.771949792923,1,8.88178419700125e-16,1,5,0.0029588,1,0
8,3,QR,14,alternating LP,0.7,-22.771949792923,0,8.88178419700125e-16,1,2,0.008983,0,1
8,3,QR,14,fmincon SQP,0.7,-22.771949792923,0,4.44089209850063e-16,1,15,0.0047379,0,1
8,3,QR,14,alternating LP,0.8,-22.771949792923,0,8.88178419700125e-16,1,2,0.0098565,0,1
8,3,QR,14,fmincon SQP,0.8,-22.771949792923,0,8.88178419700125e-16,1,17,0.0054037,0,1
8,3,QR,14,alternating LP,0.9,-22.771949792923,0,8.88178419700125e-16,1,2,0.0095756,0,1
8,3,QR,14,fmincon SQP,0.9,-22.771949792923,0,8.88178419700125e-16,1,16,0.0051064,0,1
8,3,QR,14,alternating LP,1,-22.771949792923,0,8.88178419700125e-16,1,1,0.0048445,0,1
8,3,QR,14,fmincon SQP,1,-22.771949792923,0,4.44089209850063e-16,1,16,0.0053323,0,1
