n,q,orientation,method,GroupCount,sum_at_pgm,mean_at_pgm,max_at_pgm,sum_at_global,mean_at_global,max_at_global,sum_objective_gap,mean_objective_gap,max_objective_gap,sum_maximum_violation,mean_maximum_violation,max_maximum_violation,sum_seconds,mean_seconds,max_seconds
4,2,NONE,alternating LP,11,4,0.363636363636364,1,7,0.636363636363636,1,4,0.363636363636364,1,0,0,0,0.7794562,0.0708596545454546,0.5337
4,2,NONE,fmincon SQP,11,7,0.636363636363636,1,4,0.363636363636364,1,7,0.636363636363636,1,3.15557770989037e-31,2.86870700899124e-32,1.06802199925271e-31,0.5041114,0.0458283090909091,0.3151614
6,2,HH,alternating LP,11,4,0.363636363636364,1,7,0.636363636363636,1,4.00000000000002,0.363636363636366,1,6.66133814775094e-14,6.05576195250085e-15,7.32747196252603e-15,0.091853,0.00835027272727273,0.0097578
6,2,HH,fmincon SQP,11,7,0.636363636363636,1,4,0.363636363636364,1,7,0.636363636363636,1,4.88498130835069e-15,4.44089209850063e-16,8.88178419700125e-16,0.0333846,0.00303496363636364,0.003737
6,3,QR,alternating LP,11,4,0.363636363636364,1,7,0.636363636363636,1,3.99999999999998,0.363636363636361,1,8.43769498715119e-15,7.67063180650108e-16,1.33226762955019e-15,0.1005706,0.00914278181818182,0.0110615
6,3,QR,fmincon SQP,11,7,0.636363636363636,1,4,0.363636363636364,1,6.99999999999992,0.636363636363629,1,4.13558076672871e-15,3.75961887884428e-16,8.88178419700125e-16,0.035574,0.003234,0.0047305
8,3,QR,alternating LP,11,4,0.363636363636364,1,7,0.636363636363636,1,4,0.363636363636364,1,1.28785870856518e-14,1.17078064415017e-15,1.66533453693773e-15,0.0933464,0.00848603636363636,0.0099496
8,3,QR,fmincon SQP,11,7,0.636363636363636,1,4,0.363636363636364,1,7,0.636363636363636,1,1.02140518265514e-14,9.28550166050131e-16,1.77635683940025e-15,0.038298,0.00348163636363636,0.0054037
