n,q,orientation,method,GroupCount,sum_at_pgm,mean_at_pgm,max_at_pgm,sum_at_global,mean_at_global,max_at_global,sum_objective_gap,mean_objective_gap,max_objective_gap,sum_maximum_violation,mean_maximum_violation,max_maximum_violation,sum_seconds,mean_seconds,max_seconds
4,2,NONE,alternating LP,11,4,0.363636363636364,1,7,0.636363636363636,1,4,0.363636363636364,1,0,0,0,0.1396301,0.0126936454545455,0.0321236
4,2,NONE,fmincon SQP,11,7,0.636363636363636,1,4,0.363636363636364,1,7,0.636363636363636,1,3.15557770989037e-31,2.86870700899124e-32,1.06802199925271e-31,0.0589878,0.00536252727272727,0.0240441
6,2,HH,alternating LP,11,4,0.363636363636364,1,7,0.636363636363636,1,4.00000000000002,0.363636363636366,1,6.66133814775094e-14,6.05576195250085e-15,7.32747196252603e-15,0.1075394,0.00977630909090909,0.0122196
6,2,HH,fmincon SQP,11,7,0.636363636363636,1,4,0.363636363636364,1,7,0.636363636363636,1,4.88498130835069e-15,4.44089209850063e-16,8.88178419700125e-16,0.0357572,0.00325065454545455,0.0041206
6,3,QR,alternating LP,11,4,0.363636363636364,1,7,0.636363636363636,1,3.99999999999998,0.363636363636361,1,8.43769498715119e-15,7.67063180650108e-16,1.33226762955019e-15,0.1035417,0.00941288181818182,0.0111742
6,3,QR,fmincon SQP,11,7,0.636363636363636,1,4,0.363636363636364,1,6.99999999999992,0.636363636363629,1,4.13558076672871e-15,3.75961887884428e-16,8.88178419700125e-16,0.0363254,0.00330230909090909,0.0046963
8,3,QR,alternating LP,11,4,0.363636363636364,1,7,0.636363636363636,1,4,0.363636363636364,1,1.28785870856518e-14,1.17078064415017e-15,1.66533453693773e-15,0.1052627,0.00956933636363636,0.0113204
8,3,QR,fmincon SQP,11,7,0.636363636363636,1,4,0.363636363636364,1,7,0.636363636363636,1,1.02140518265514e-14,9.28550166050131e-16,1.77635683940025e-15,0.0403757,0.00367051818181818,0.0054834
