n,q,orientation,seed,method,y0_source,value,objective_gap,maximum_violation,exitflag,iterations,seconds,at_pgm,at_global
6,3,QR,13,fmincon SQP,0.6,26.2632922144537,0.999999999999993,1.11022302462516e-16,1,4,0.0028559,1,0
6,3,QR,13,alternating LP,0.7,25.2632922144538,-3.5527136788005e-15,4.44089209850063e-16,1,2,0.0111329,0,1
6,3,QR,13,fmincon SQP,0.7,25.2632922144537,-7.105427357601e-15,4.44089209850063e-16,1,11,0.0043142,0,1
6,3,QR,13,alternating LP,0.8,25.2632922144538,-3.5527136788005e-15,4.44089209850063e-16,1,2,0.009867,0,1
6,3,QR,13,fmincon SQP,0.8,25.2632922144537,-7.105427357601e-15,4.44089209850063e-16,1,11,0.0043371,0,1
6,3,QR,13,alternating LP,0.9,25.2632922144538,-3.5527136788005e-15,4.44089209850063e-16,1,2,0.0092731,0,1
6,3,QR,13,fmincon SQP,0.9,25.2632922144537,-7.105427357601e-15,4.44089209850063e-16,1,11,0.0046963,0,1
6,3,QR,13,alternating LP,1,25.2632922144538,-3.5527136788005e-15,4.44089209850063e-16,1,1,0.0050107,0,1
6,3,QR,13,fmincon SQP,1,25.2632922144537,-7.105427357601e-15,2.77555756156289e-17,1,11,0.0040798,0,1
8,3,QR,14,alternating LP,0,-21.771949792923,1,1.66533453693773e-15,1,1,0.0064119,1,0
8,3,QR,14,fmincon SQP,0,-21.771949792923,1,8.88178419700125e-16,1,2,0.0023118,1,0
8,3,QR,14,alternating LP,0.1,-21.771949792923,1,1.66533453693773e-15,1,2,0.0103648,1,0
8,3,QR,14,fmincon SQP,0.1,-21.771949792923,1,8.88178419700125e-16,1,2,0.0023743,1,0
8,3,QR,14,alternating LP,0.2,-21.771949792923,1,1.66533453693773e-15,1,2,0.0102117,1,0
8,3,QR,14,fmincon SQP,0.2,-21.771949792923,1,1.77635683940025e-15,1,3,0.002535,1,0
8,3,QR,14,alternating LP,0.3,-21.771949792923,1,1.66533453693773e-15,1,2,0.0106459,1,0
8,3,QR,14,fmincon SQP,0.3,-21.771949792923,1,1.77635683940025e-15,1,3,0.0027137,1,0
8,3,QR,14,alternating LP,0.4,-22.771949792923,0,8.88178419700125e-16,1,2,0.0103257,0,1
8,3,QR,14,fmincon SQP,0.4,-21.771949792923,1,4.44089209850063e-16,1,4,0.002959,1,0
8,3,QR,14,alternating LP,0.5,-22.771949792923,0,8.88178419700125e-16,1,2,0.010038,0,1
8,3,QR,14,fmincon SQP,0.5,-21.771949792923,1,8.88178419700125e-16,1,4,0.0027819,1,0
8,3,QR,14,alternating LP,0.6,-22.771949792923,0,8.88178419700125e-16,1,2,0.0104395,0,1
8,3,QR,14,fmincon SQP,0.6,-21.771949792923,1,8.88178419700125e-16,1,5,0.0032832,1,0
8,3,QR,14,alternating LP,0.7,-22.771949792923,0,8.88178419700125e-16,1,2,0.0113204,0,1
8,3,QR,14,fmincon SQP,0.7,-22.771949792923,0,4.44089209850063e-16,1,15,0.005212,0,1
8,3,QR,14,alternating LP,0.8,-22.771949792923,0,8.88178419700125e-16,1,2,0.0105112,0,1
8,3,QR,14,fmincon SQP,0.8,-22.771949792923,0,8.88178419700125e-16,1,17,0.0054689,0,1
8,3,QR,14,alternating LP,0.9,-22.771949792923,0,8.88178419700125e-16,1,2,0.0100836,0,1
8,3,QR,14,fmincon SQP,0.9,-22.771949792923,0,8.88178419700125e-16,1,16,0.0052525,0,1
8,3,QR,14,alternating LP,1,-22.771949792923,0,8.88178419700125e-16,1,1,0.00491,0,1
8,3,QR,14,fmincon SQP,1,-22.771949792923,0,4.44089209850063e-16,1,16,0.0054834,0,1
