n,q,eta,alpha,cells,max_relative_depth_error,mean_relative_depth_error,global_cells,global_preserved,incumbent_on_boundary,D_min_min,D_mean_mean,D_geo_geomean,mean_log_volume_multiplier,cut_seconds,tol_cut,tol_cone
7,2,0.25,-0.25,57,1.29699928867641e-16,4.8410721410566e-17,23,1,1,1.625,1.75411999616403,1.7522926541877,4.48740014900829,0.0270169,1e-09,1e-09
7,2,0.25,-0.5,57,1.20702959352837e-16,3.77067129076893e-17,23,1,1,1.75,1.88905230356127,1.88708439681753,5.08026392623806,0.0245049,1e-09,1e-09
7,2,0.25,-0.75,57,2.368475785867e-16,1.8381085214948e-17,23,1,1,1.875,2.0239846109585,2.02187613944735,5.63220689813368,0.025263,1e-09,1e-09
7,2,0.5,-0.25,57,2.45514047870526e-16,3.23958291497073e-17,23,1,1,1.625,1.91545076865857,1.90622827423942,5.16101251350668,0.0258219,1e-09,1e-09
7,2,0.5,-0.5,57,3.41965995248233e-16,1.52923242586612e-17,23,1,1,1.75,2.06279313547847,2.05286121841169,5.75387629073646,0.0282029,1e-09,1e-09
7,2,0.5,-0.75,57,2.368475785867e-16,2.95291569242068e-18,23,1,1,1.875,2.21013550229836,2.19949416258395,6.30581926263207,0.0231559,1e-09,1e-09
7,2,1,-0.25,57,2.20045416239711e-16,3.89467261231938e-18,23,1,1,1.625,2.41014867099003,2.34385559372049,6.81437810433965,0.0236233,1e-09,1e-09
7,2,1,-0.5,57,1.49648001654561e-16,2.59872688229741e-17,23,1,1,1.75,2.59554472260465,2.52415217785284,7.40724188156942,0.0234655,1e-09,1e-09
7,2,1,-0.75,57,2.79342936421846e-16,2.24930043484409e-17,23,1,1,1.875,2.78094077421927,2.70444876198518,7.95918485346503,0.0245959,1e-09,1e-09
7,2,1.5,-0.25,57,1.93425290559547e-16,9.4152113881708e-18,23,1,1,1.625,3.54271934468798,3.17547242356434,9.24365132879375,0.0263659,1e-09,1e-09
7,2,1.5,-0.5,57,1.95178742192217e-16,1.35804964388568e-17,23,1,1,1.75,3.81523621735629,3.41973953306929,9.83651510602352,0.0264963,1e-09,1e-09
7,2,1.5,-0.75,57,3.00935064442457e-16,3.5563204637116e-17,23,1,1,1.875,4.0877530900246,3.66400664257424,10.3884580779191,0.0276214,1e-09,1e-09
8,2,0.25,-0.25,120,1.33798961679398e-16,3.47453264035824e-17,6,1,1,1.625,1.73649808673617,1.73543779834776,4.96133743418791,0.0582192,1e-09,1e-09
8,2,0.25,-0.5,120,1.24241892988012e-16,4.77172467214228e-17,6,1,1,1.75,1.87007486263895,1.86893301360528,5.62830918357141,0.0599949,1e-09,1e-09
8,2,0.25,-0.75,120,3.39508779381223e-16,3.5813142907935e-17,6,1,1,1.875,2.00365163854173,2.0024282288628,6.24924502695397,0.0551478,1e-09,1e-09
8,2,0.5,-0.25,120,3.43821580278106e-16,4.11744486396297e-17,6,1,1,1.625,1.86993867172136,1.86476211240443,5.60820142160615,0.0528361,1e-09,1e-09
8,2,0.5,-0.5,120,3.46870918802567e-16,3.75744188165856e-17,6,1,1,1.75,2.01378010800762,2.00820535182016,6.27517317098965,0.0509036,1e-09,1e-09
8,2,0.5,-0.75,120,2.368475785867e-16,8.98018083497205e-18,6,1,1,1.875,2.15762154429388,2.15164859123588,6.89610901437221,0.0517616,1e-09,1e-09
8,2,1,-0.25,120,3.37178092943933e-16,1.82400631351242e-17,6,1,1,1.625,2.24036861368924,2.20675957507968,7.12372665514416,0.0520963,1e-09,1e-09
8,2,1,-0.5,120,2.95731283338859e-16,2.31631325284006e-17,6,1,1,1.75,2.4127046608961,2.37651031162427,7.79069840452766,0.0530365,1e-09,1e-09
8,2,1,-0.75,120,2.14398152187945e-16,1.66866959575097e-17,6,1,1,1.875,2.58504070810297,2.54626104816886,8.41163424791022,0.0512858,1e-09,1e-09
8,2,1.5,-0.25,120,2.8214365071227e-16,4.85201691763829e-17,6,1,1,1.625,2.90325556281738,2.75293565794049,9.11401068843997,0.0513053,1e-09,1e-09
8,2,1.5,-0.5,120,2.76380032424524e-16,7.56772220540875e-18,6,1,1,1.75,3.12658291380333,2.96469993932052,9.78098243782347,0.0522347,1e-09,1e-09
8,2,1.5,-0.75,120,2.03173438988568e-16,2.04593880842999e-17,6,1,1,1.875,3.34991026478928,3.17646422070056,10.401918281206,0.0525065,1e-09,1e-09
6,3,0.25,-0.25,66,2.71759900971303e-16,2.9135267729711e-17,24,1,1,1.625,1.72014246870347,1.71856106058237,3.79041143601214,0.0246165,1e-09,1e-09
6,3,0.25,-0.5,66,3.52711157754789e-16,3.51635070319085e-17,24,1,1,1.75,1.8524611201422,1.85075806524255,4.30916724108819,0.0261775,1e-09,1e-09
6,3,0.25,-0.75,66,4.31290177174776e-16,3.13365854884782e-17,24,1,1,1.875,1.98477977158093,1.98295506990273,4.79211734149685,0.0240865,1e-09,1e-09
6,3,0.5,-0.25,66,2.24356844524703e-16,1.41298077997961e-17,24,1,1,1.625,1.83519685982288,1.82757004508493,4.22091068189792,0.0253458,1e-09,1e-09
6,3,0.5,-0.5,66,2.50931696175242e-16,5.54431768409196e-17,24,1,1,1.75,1.97636584904003,1.96815235624531,4.73966648697397,0.025323,1e-09,1e-09
6,3,0.5,-0.75,66,2.368475785867e-16,2.44796153503152e-17,24,1,1,1.875,2.11753483825717,2.10873466740569,5.22261658738263,0.0259947,1e-09,1e-09
6,3,1,-0.25,66,3.68378578001463e-16,4.59600213005672e-17,24,1,1,1.625,2.16286545285843,2.11429348642188,5.24104495402843,0.026583,1e-09,1e-09
6,3,1,-0.5,66,3.58534598063422e-16,3.72326688207867e-17,24,1,1,1.75,2.32923971846293,2.27693144691587,5.75980075910449,0.0265459,1e-09,1e-09
6,3,1,-0.75,66,2.368475785867e-16,5.28655497993638e-18,24,1,1,1.875,2.49561398406742,2.43956940740986,6.24275085951315,0.026199,1e-09,1e-09
6,3,1.5,-0.25,66,5.46571335200077e-16,6.38429797565085e-17,24,1,1,1.625,2.80032599855465,2.57579098876881,6.6230966693496,0.0241159,1e-09,1e-09
6,3,1.5,-0.5,66,4.6985416538926e-16,3.6820174353365e-17,24,1,1,1.75,3.01573569075116,2.77392875713564,7.14185247442566,0.0267012,1e-09,1e-09
